时间,类型,城市,城市ID,空气质量,空气质量核减,空气质量变化
2017/1/10,1,1,1,53,,
2017/1/10,1,2,2,46,,
2017/1/10,1,3,3,112,,
2017/1/10,1,4,4,38,,
2017/1/10,1,5,5,70,,
2017/1/10,1,6,6,57,,
2017/1/10,1,7,7,89,,
2017/1/10,1,8,8,51,,
2017/1/10,1,9,9,33,,
2017/1/10,1,10,10,56,,
2017/1/10,1,11,11,53,,
2017/1/10,1,12,12,47,,
2017/1/10,1,13,13,107,,
2017/1/10,1,14,14,112,,
2017/1/10,1,15,15,205,,
2017/1/10,1,16,16,137,,
2017/1/10,1,17,17,142,,
2017/1/10,1,18,18,89,,
2017/1/10,1,19,19,148,,
2017/1/10,1,20,20,87,,
2017/1/10,1,21,21,68,,
2017/1/10,1,22,22,73,,
2017/1/10,1,23,23,109,,
2017/1/10,1,24,24,123,,
2017/1/10,1,25,25,104,,
2017/1/10,1,26,26,232,,
2017/1/10,1,27,27,204,,
2017/1/10,1,28,28,101,,
2017/1/10,1,29,29,92,,
2017/1/10,1,30,30,85,,
2017/1/10,1,31,31,92,,
2017/1/10,1,32,32,58,,
2017/1/10,1,33,33,58,,
2017/1/10,1,34,34,112,,
2017/1/10,1,35,35,41,,
2017/1/10,1,36,36,55,,
2017/1/10,1,37,37,40,,
2017/1/10,1,38,38,48,,
2017/1/10,1,39,39,49,,
2017/1/10,1,40,40,43,,
2017/1/10,1,41,41,38,,
2017/1/10,1,42,42,50,,
2017/1/10,1,43,43,27,,
2017/1/10,1,44,44,29,,
2017/1/10,1,45,45,47,,
2017/1/10,1,46,46,63,,
2017/1/10,1,47,47,51,,
2017/1/10,1,48,48,55,,
2017/1/10,1,49,49,87,,
2017/1/10,1,50,50,316,,
2017/1/11,1,1,1,81,,
2017/1/11,1,2,2,172,,
2017/1/11,1,3,3,250,,
2017/1/11,1,4,4,108,,
2017/1/11,1,5,5,94,,
2017/1/11,1,6,6,56,,
2017/1/11,1,7,7,119,,
2017/1/11,1,8,8,89,,
2017/1/11,1,9,9,53,,
2017/1/11,1,10,10,49,,
2017/1/11,1,11,11,45,,
2017/1/11,1,12,12,55,,
2017/1/11,1,13,13,45,,
2017/1/11,1,14,14,96,,
2017/1/11,1,15,15,162,,
2017/1/11,1,16,16,68,,
2017/1/11,1,17,17,83,,
2017/1/11,1,18,18,47,,
2017/1/11,1,19,19,141,,
2017/1/11,1,20,20,94,,
2017/1/11,1,21,21,76,,
2017/1/11,1,22,22,74,,
2017/1/11,1,23,23,104,,
2017/1/11,1,24,24,169,,
2017/1/11,1,25,25,74,,
2017/1/11,1,26,26,228,,
2017/1/11,1,27,27,136,,
2017/1/11,1,28,28,151,,
2017/1/11,1,29,29,108,,
2017/1/11,1,30,30,72,,
2017/1/11,1,31,31,88,,
2017/1/11,1,32,32,82,,
2017/1/11,1,33,33,92,,
2017/1/11,1,34,34,33,,
2017/1/11,1,35,35,17,,
2017/1/11,1,36,36,56,,
2017/1/11,1,37,37,40,,
2017/1/11,1,38,38,28,,
2017/1/11,1,39,39,53,,
2017/1/11,1,40,40,45,,
2017/1/11,1,41,41,22,,
2017/1/11,1,42,42,73,,
2017/1/11,1,43,43,27,,
2017/1/11,1,44,44,27,,
2017/1/11,1,45,45,48,,
2017/1/11,1,46,46,67,,
2017/1/11,1,47,47,83,,
2017/1/11,1,48,48,72,,
2017/1/11,1,49,49,99,,
2017/1/11,1,50,50,302,,
2017/1/12,1,1,1,61,,
2017/1/12,1,2,2,184,,
2017/1/12,1,3,3,126,,
2017/1/12,1,4,4,74,,
2017/1/12,1,5,5,76,,
2017/1/12,1,6,6,66,,
2017/1/12,1,7,7,136,,
2017/1/12,1,8,8,53,,
2017/1/12,1,9,9,69,,
2017/1/12,1,10,10,44,,
2017/1/12,1,11,11,47,,
2017/1/12,1,12,12,69,,
2017/1/12,1,13,13,74,,
2017/1/12,1,14,14,93,,
2017/1/12,1,15,15,204,,
2017/1/12,1,16,16,84,,
2017/1/12,1,17,17,50,,
2017/1/12,1,18,18,45,,
2017/1/12,1,19,19,138,,
2017/1/12,1,20,20,56,,
2017/1/12,1,21,21,62,,
2017/1/12,1,22,22,60,,
2017/1/12,1,23,23,65,,
2017/1/12,1,24,24,259,,
2017/1/12,1,25,25,201,,
2017/1/12,1,26,26,80,,
2017/1/12,1,27,27,75,,
2017/1/12,1,28,28,129,,
2017/1/12,1,29,29,86,,
2017/1/12,1,30,30,55,,
2017/1/12,1,31,31,51,,
2017/1/12,1,32,32,86,,
2017/1/12,1,33,33,79,,
2017/1/12,1,34,34,13,,
2017/1/12,1,35,35,18,,
2017/1/12,1,36,36,51,,
2017/1/12,1,37,37,39,,
2017/1/12,1,38,38,39,,
2017/1/12,1,39,39,74,,
2017/1/12,1,40,40,89,,
2017/1/12,1,41,41,36,,
