时间,类型,城市,城市ID,空气质量,空气质量核减,空气质量变化
2017年1月10日,1,1,1,53,,
2017年1月10日,1,2,2,46,,
2017年1月10日,1,3,3,112,,
2017年1月10日,1,4,4,38,,
2017年1月10日,1,5,5,70,,
2017年1月10日,1,6,6,57,,
2017年1月10日,1,7,7,89,,
2017年1月10日,1,8,8,51,,
2017年1月10日,1,9,9,33,,
2017年1月10日,1,10,10,56,,
2017年1月10日,1,11,11,53,,
2017年1月10日,1,12,12,47,,
2017年1月10日,1,13,13,107,,
2017年1月10日,1,14,14,112,,
2017年1月10日,1,15,15,205,,
2017年1月10日,1,16,16,137,,
2017年1月10日,1,17,17,142,,
2017年1月10日,1,18,18,89,,
2017年1月10日,1,19,19,148,,
2017年1月10日,1,20,20,87,,
2017年1月10日,1,21,21,68,,
2017年1月10日,1,22,22,73,,
2017年1月10日,1,23,23,109,,
2017年1月10日,1,24,24,123,,
2017年1月10日,1,25,25,104,,
2017年1月10日,1,26,26,232,,
2017年1月10日,1,27,27,204,,
2017年1月10日,1,28,28,101,,
2017年1月10日,1,29,29,92,,
2017年1月10日,1,30,30,85,,
2017年1月10日,1,31,31,92,,
2017年1月10日,1,32,32,58,,
2017年1月10日,1,33,33,58,,
2017年1月10日,1,34,34,112,,
2017年1月10日,1,35,35,41,,
2017年1月10日,1,36,36,55,,
2017年1月10日,1,37,37,40,,
2017年1月10日,1,38,38,48,,
2017年1月10日,1,39,39,49,,
2017年1月10日,1,40,40,43,,
2017年1月10日,1,41,41,38,,
2017年1月10日,1,42,42,50,,
2017年1月10日,1,43,43,27,,
2017年1月10日,1,44,44,29,,
2017年1月10日,1,45,45,47,,
2017年1月10日,1,46,46,63,,
2017年1月10日,1,47,47,51,,
2017年1月10日,1,48,48,55,,
2017年1月10日,1,49,49,87,,
2017年1月10日,1,50,50,316,,
2017年1月11日,1,1,1,81,,
2017年1月11日,1,2,2,172,,
2017年1月11日,1,3,3,250,,
2017年1月11日,1,4,4,108,,
2017年1月11日,1,5,5,94,,
2017年1月11日,1,6,6,56,,
2017年1月11日,1,7,7,119,,
2017年1月11日,1,8,8,89,,
2017年1月11日,1,9,9,53,,
2017年1月11日,1,10,10,49,,
2017年1月11日,1,11,11,45,,
2017年1月11日,1,12,12,55,,
2017年1月11日,1,13,13,45,,
2017年1月11日,1,14,14,96,,
2017年1月11日,1,15,15,162,,
2017年1月11日,1,16,16,68,,
2017年1月11日,1,17,17,83,,
2017年1月11日,1,18,18,47,,
2017年1月11日,1,19,19,141,,
2017年1月11日,1,20,20,94,,
2017年1月11日,1,21,21,76,,
2017年1月11日,1,22,22,74,,
2017年1月11日,1,23,23,104,,
2017年1月11日,1,24,24,169,,
2017年1月11日,1,25,25,74,,
2017年1月11日,1,26,26,228,,
2017年1月11日,1,27,27,136,,
2017年1月11日,1,28,28,151,,
2017年1月11日,1,29,29,108,,
2017年1月11日,1,30,30,72,,
2017年1月11日,1,31,31,88,,
2017年1月11日,1,32,32,82,,
2017年1月11日,1,33,33,92,,
2017年1月11日,1,34,34,33,,
2017年1月11日,1,35,35,17,,
2017年1月11日,1,36,36,56,,
2017年1月11日,1,37,37,40,,
2017年1月11日,1,38,38,28,,
2017年1月11日,1,39,39,53,,
2017年1月11日,1,40,40,45,,
2017年1月11日,1,41,41,22,,
2017年1月11日,1,42,42,73,,
2017年1月11日,1,43,43,27,,
2017年1月11日,1,44,44,27,,
2017年1月11日,1,45,45,48,,
2017年1月11日,1,46,46,67,,
2017年1月11日,1,47,47,83,,
2017年1月11日,1,48,48,72,,
2017年1月11日,1,49,49,99,,
2017年1月11日,1,50,50,302,,
2017年1月12日,1,1,1,61,,
2017年1月12日,1,2,2,184,,
2017年1月12日,1,3,3,126,,
2017年1月12日,1,4,4,74,,
2017年1月12日,1,5,5,76,,
2017年1月12日,1,6,6,66,,
2017年1月12日,1,7,7,136,,
2017年1月12日,1,8,8,53,,
2017年1月12日,1,9,9,69,,
2017年1月12日,1,10,10,44,,
2017年1月12日,1,11,11,47,,
2017年1月12日,1,12,12,69,,
2017年1月12日,1,13,13,74,,
2017年1月12日,1,14,14,93,,
2017年1月12日,1,15,15,204,,
2017年1月12日,1,16,16,84,,
2017年1月12日,1,17,17,50,,
2017年1月12日,1,18,18,45,,
2017年1月12日,1,19,19,138,,
2017年1月12日,1,20,20,56,,
2017年1月12日,1,21,21,62,,
2017年1月12日,1,22,22,60,,
2017年1月12日,1,23,23,65,,
2017年1月12日,1,24,24,259,,
2017年1月12日,1,25,25,201,,
2017年1月12日,1,26,26,80,,
2017年1月12日,1,27,27,75,,
2017年1月12日,1,28,28,129,,
2017年1月12日,1,29,29,86,,
2017年1月12日,1,30,30,55,,
2017年1月12日,1,31,31,51,,
2017年1月12日,1,32,32,86,,
2017年1月12日,1,33,33,79,,
2017年1月12日,1,34,34,13,,
2017年1月12日,1,35,35,18,,
2017年1月12日,1,36,36,51,,
2017年1月12日,1,37,37,39,,
2017年1月12日,1,38,38,39,,
2017年1月12日,1,39,39,74,,
2017年1月12日,1,40,40,89,,
2017年1月12日,1,41,41,36,,
2017年1月12日,1,42,42,59,,
2017年1月12日,1,43,43,28,,
2017年1月12日,1,44,44,29,,
2017年1月12日,1,45,45,51,,
2017年1月12日,1,46,46,84,,
2017年1月12日,1,47,47,127,,
2017年1月12日,1,48,48,94,,
2017年1月12日,1,49,49,118,,
2017年1月12日,1,50,50,217,,
2017年1月13日,1,1,1,23,,
2017年1月13日,1,2,2,46,,
2017年1月13日,1,3,3,164,,
2017年1月13日,1,4,4,41,,
2017年1月13日,1,5,5,86,,
2017年1月13日,1,6,6,52,,
2017年1月13日,1,7,7,76,,
2017年1月13日,1,8,8,56,,
2017年1月13日,1,9,9,36,,
2017年1月13日,1,10,10,52,,
2017年1月13日,1,11,11,49,,
2017年1月13日,1,12,12,50,,
2017年1月13日,1,13,13,131,,
2017年1月13日,1,14,14,88,,
2017年1月13日,1,15,15,229,,
2017年1月13日,1,16,16,129,,
2017年1月13日,1,17,17,70,,
2017年1月13日,1,18,18,84,,
2017年1月13日,1,19,19,105,,
2017年1月13日,1,20,20,24,,
2017年1月13日,1,21,21,35,,
2017年1月13日,1,22,22,25,,
2017年1月13日,1,23,23,69,,
2017年1月13日,1,24,24,137,,
2017年1月13日,1,25,25,153,,
2017年1月13日,1,26,26,99,,
2017年1月13日,1,27,27,98,,
2017年1月13日,1,28,28,113,,
2017年1月13日,1,29,29,105,,
2017年1月13日,1,30,30,89,,
2017年1月13日,1,31,31,21,,
2017年1月13日,1,32,32,25,,
